cert_city_cd,cert_city_nm,city_tag,map_city_id
6402,石嘴山,石嘴山,6402
6403,吴忠,吴忠,6403
6421,吴忠,吴忠,6403
6422,固原,固原,6422
6501,乌鲁木齐,乌鲁木齐,6501
6502,克拉玛依,克拉玛依,6502
6503,乌鲁木齐,乌鲁木齐,6501
6521,吐鲁番,吐鲁番,6521
6522,哈密,哈密,6522
6523,昌吉,昌吉,6523
6524,伊犁哈萨克,伊犁哈萨克,6541
6526,阿勒泰,阿勒泰,6543
6527,博尔,博尔,6527
6528,巴音,巴音,6528
6529,阿克苏,阿克苏,6529
6530,克孜,克孜,6530
6531,喀什,喀什,6531
6532,和田,和田,6532
6540,伊犁,伊犁,6540
6541,伊犁哈萨克,伊犁哈萨克,6541
6542,塔城,塔城,6542
6543,阿勒泰,阿勒泰,6543
6590,石河子,石河子,6590
7100,台湾,台湾,7100
8100,香港,香港,8100
8200,澳门,澳门,8200
9900,国外,国外,9900
